INDICATOR,Indicator
PV_CHLD_DPRV-L1-HS,Percentage children suffering at least one deprivation. Homogeneous moderate standards
PV_CHLD_DPRV-L2-HS,Percentage children suffering at least two deprivation. Homogeneous moderate standards
PV_CHLD_DPRV-L3-HS,Percentage children suffering at least three deprivation. Homogeneous moderate standards
PV_CHLD_DPRV-L4-HS,Percentage children suffering at least four deprivation. Homogeneous moderate standards
PV_CHLD_DPRV-L5-HS,Percentage children suffering at least five deprivation. Homogeneous moderate standards
PV_CHLD_DPRV-S-E1-HS,Percentage Children suffering exactly one deprivation. Homogeneous severe standards
PV_CHLD_DPRV-S-E2-HS,Percentage Children suffering exactly two deprivation. Homogeneous severe standards
PV_CHLD_DPRV-S-E3-HS,Percentage Children suffering exactly three deprivation. Homogeneous severe standards
PV_CHLD_DPRV-S-E4-HS,Percentage Children suffering exactly four deprivation. Homogeneous severe standards
PV_CHLD_DPRV-S-E5-HS,Percentage Children suffering exactly five deprivation. Homogeneous severe standards
PV_CHLD_DPRV-S-L1-HS,Percentage children suffering at least one deprivation. Homogeneous severe standards
PV_CHLD_DPRV-S-L2-HS,Percentage children suffering at least two deprivation. Homogeneous severe standards
PV_CHLD_DPRV-S-L3-HS,Percentage children suffering at least three deprivation. Homogeneous severe standards
PV_CHLD_DPRV-S-L4-HS,Percentage children suffering at least four deprivation. Homogeneous severe standards
PV_CHLD_DPRV-S-L5-HS,Percentage children suffering at least five deprivation. Homogeneous severe standards
PV_LEVEL,Poverty Level
PV_VMIR,Vast Majority Income Ratio
SPP_CHLD_SOC_PROT,Proportion of children covered by social protection
SPP_GDPPC,GDP per capita (current US$)
SPP_GINI,Gini Coefficient
SPP_HSLD_INCOME_SHARE,Share of household income (%)
SPP_MOTHERS_CASH_BNF,Mothers with newborns receiving cash benefit (%)
SPP_PALMA,Palma Index of income inequality
SPP_VMI,VMI (vast majority index of income inequality)
WS_HCF_W-N,Proportion of health care facilities with no water service
WS_PPL_H-B,Proportion of population with a handwashing facility with soap and water available at home
WS_PPL_H-L,Proportion of population with a limited handwashing facility
WS_PPL_H-N,Proportion of population with no handwashing facility at home
WS_PPL_S-ALB,Proportion of population using at least basic sanitation services
WS_PPL_S-I,Proportion of population using improved sanitation facilities
WS_PPL_S-L,Proportion of population using limited sanitation services
WS_PPL_S-LAT,Proportion of population using improved latrines and other improved facilities
WS_PPL_S-OD,Proportion of population practising open defecation
WS_PPL_S-SEP,Proportion of population using sanitation facilities connected to septic tanks
WS_PPL_S-SEW,Proportion of population using sanitation facilities connected to sewer networks
WS_PPL_S-UI,Proportion of population using unimproved sanitation facilites
